id,contract_price,date_of_publication,procurement_name,place_of_performance,system_number,contracting_authority_id,supplier_id,date_of_contract_close
108,8250.00,2021-07-13,DP: oprava a servis VKZ elektro (20. DP),Česká republika,N006/21/V00017465,4,186,
109,33610.00,2020-12-10,DP: Oprava a údržba autobusů různých značek (13.DP),Hlavní město Praha,N006/20/V00030479,4,210,
110,3021091.69,2023-04-11,"Modernizace odborných učeben, kabinetů a zázemí pro školní družiny základních škol v Přerově (stavba) – ZŠ ZA MLÝNEM",Olomoucký kraj,N006/23/V00009024,29,191,
111,275700.00,2023-08-24,"Rekonstrukce prostor - vypracování projektové dokumentace pro stavební povolení a pro následnou realizaci včetně autorského dozoru - Územní odbor Olomouc, Žižkovo nám. 600/4, Oddělení hlídkové služby",Olomoucký kraj,N006/23/V00023188,34,216,
112,2273.00,2020-11-19,"DP: praní prádla, oděvů a výstrojních součástek (37.DP)",Hlavní město Praha,N006/20/V00029851,4,180,
113,57459.50,2022-08-23,Lednice a kávovary,Středočeský kraj,N006/22/V00021903,4,124,
114,407839.67,2022-08-23,Kurty - vázací pásy,Středočeský kraj,N006/22/V00021931,4,188,
115,4400.00,2020-11-10,"DP: zákonné prohlídky, opravy a údržba přenosných a pojízdných hasicích přístrojů (18.DP)",Hlavní město Praha,N006/20/V00029701,4,223,
116,4341.00,2021-08-10,DP: praní prádla (12. DP),Hlavní město Praha,N006/21/V00019729,4,180,
117,19072.00,2020-11-11,DP: opravy a servis velkokuchyňského zařízení - plyn (3.DP),Hlavní město Praha,N006/20/V00029695,4,56,
118,4715.00,2021-08-10,DP: praní prádla (13. DP),Hlavní město Praha,N006/21/V00019862,4,180,
119,1338560.00,2023-09-25,DNS ICT OPITK 1/2023 VT část 1 - Výzva č.3 upraveno,Hlavní město Praha,N006/23/V00022453,26,224,
120,90000.00,2021-08-31,Školení práce ve výškách,Středočeský kraj,N006/21/V00021870,4,225,
121,105685.95,2020-11-19,DP: zabezpečení smluvního stravování - listopad (1.DP),Česká republika,N006/20/V00029433,4,211,
122,19675.00,2021-08-27,"Celoobličejové masky, filtry k maskám a držáky filtrů",Hlavní město Praha,N006/21/V00022159,4,134,
123,2358.00,2020-11-02,"DP: zabezpečení praní prádla, oděvů a výstrojních součástek (36.DP)",Hlavní město Praha,N006/20/V00028585,4,180,
124,7960.00,2023-09-13,ÚP ČR KoP Tábor - Revize hasících přístrojů a hydrantů,Jihočeský kraj,N006/23/V00025596,30,230,
125,49900.00,2020-11-02,DP: Zabezpečení oprav a údržby velkokuchyňského zařízení elektro (17.DP),Hlavní město Praha,N006/20/V00028524,4,186,
126,8654.00,2021-08-30,Bezpečnostní tabulky a značení,Hlavní město Praha,N006/21/V00022329,4,227,
127,176185.00,2023-09-25,9.DP RD 21105001458 Periodické a tlakové zkoušky HP,Česká republika,N006/23/V00026427,4,233,
128,160000.00,2020-11-03,DP: stravovací poukázky (5.DP),Hlavní město Praha,N006/20/V00028520,4,234,
129,306189.69,2023-08-22,Osobní a ochranné pracovní prostředky,Česká republika,N006/23/V00023346,4,235,
130,300000.00,2023-09-25,Zajištění a provádění provozně-servisních činností na tepelných zařízeních v objektu Klementinum,,N006/23/V00025148,35,240,
131,42207.00,2020-10-19,DP: servisní opravy a údržba vozidel AVIA (10.DP),Hlavní město Praha,N006/20/V00027625,4,241,
132,3702.48,2020-10-20,DP: Provedení TK a ME u vozidel nad 3.5t (7.DP),Česká republika,N006/20/V00027624,4,199,
133,4586.78,2020-10-23,DP: Provedení TK a ME u vozidel do 3.5t (8.DP),Česká republika,N006/20/V00027617,4,242,
134,1196.00,2020-10-09,Elektrické spotřebiče a zařízení vč.příslušenství - 4.část (Koše do myčky),Hlavní město Praha,N006/20/V00026814,4,243,
135,165289.25,2021-09-15,DP: Závodní stravování formou stravovacích poukázek 2021 (4.DP),Česká republika,N006/21/V00022878,4,66,
136,23700.00,2020-10-20,"DP: provádění zákonné kontroly, údržby a opravy přenosných a poj. hasicích přístrojů (17.DP)",Hlavní město Praha,N006/20/V00026637,4,223,
137,896748.43,2023-08-17,"Místo pro přecházení a parkovací stání Husova ulice, Jindřichův Hradec",Jihočeský kraj,N006/23/V00023022,36,71,
138,329562.00,2023-09-01,Prodloužení podpory FortiCare a FortiAnalyzer,Plzeňský kraj,N006/23/V00024411,37,247,
139,38250.00,2022-08-25,Nůžkové stany,Středočeský kraj,N006/22/V00022084,4,251,
140,128447.91,2023-09-25,Čištění deskových výměníků,Hlavní město Praha,N006/23/V00025161,35,255,
141,8000.00,2023-09-25,"ZP k. ú. Janov u Litvínova, p. st. p. č. 376, součástí je stavba a p. p. p. č. 905/2 - 24/2023/CV",Česká republika,N006/23/V00024519,38,256,
142,394830.00,2022-08-29,Paletové regály - základní a přístavbové,Středočeský kraj,N006/22/V00022085,4,261,
143,1997600.00,2023-09-25,Poskytnutí licencí a implementace personálního a mzdového informačního systému II,Hlavní město Praha,N006/23/V00024318,35,265,
144,620116.00,2023-09-25,Dodávka PS II varianta B - rok 2023,Plzeňský kraj,N006/23/V00019549,37,266,
145,217000.00,2022-08-25,ND ke stanům - kompresory a ventilky,Středočeský kraj,N006/22/V00022170,4,268,
146,125000.00,2023-09-25,Autorský dozor při rekonstrukci fasády v CDH,,N006/23/V00021778,35,269,
147,162380.00,2022-09-19,Pronájem mobilních toalet a umýváren,Karlovarský kraj,N006/22/V00023126,4,85,
148,53850.00,2023-08-28,Nákup polního nábytku,Česká republika,N006/23/V00023717,4,62,
149,22400.00,2023-08-17,Nákup materiálu - Hadice tlaková pro vodu a vzduch,Karlovarský kraj,N006/23/V00023013,4,68,
150,535250.00,2023-09-25,Dodávka PS I - rok 2023,Plzeňský kraj,N006/23/V00022144,37,272,
151,53732.00,2022-09-14,Bezpilotní prostředky,Středočeský kraj,N006/22/V00024094,4,273,
152,3948827.44,2023-09-25,Výstavba chodníku Rohovládova Bělá - Kasalice podél silnice II/323,,N006/23/V00026819,39,274,
153,43505.00,2023-06-14,Výzva č. 23/2022 - Hygienické pomůcky,Zlínský kraj,N006/23/V00002861,4,65,
154,2479.34,2020-11-30,DP: Servisní prohlídka Š Fabia 027-21-80 (44.DP) Čechy,Hlavní město Praha,N006/20/V00025950,4,185,
155,1652.89,2020-11-30,"DP: Servisní prohlídka (oprava, údržba) Š Fabia combi 212-89-17 (43.DP) Čechy",Hlavní město Praha,N006/20/V00025948,4,185,
156,4669.42,2023-09-25,10. DP - TK,Karlovarský kraj,N006/23/V00026275,4,275,
157,299432.00,2021-09-21,Havarijní oprava TÚ Jistel ET 200 Brno,Jihomoravský kraj,N006/21/V00023138,4,276,
158,6071993.34,2023-06-30,Dům pokojného stáří Zlín - oprava střešního pláště,Zlínský kraj,N006/23/V00018924,40,277,
159,28339.67,2023-09-25,4.DP RD 23105001153 Speciální přípravky a ND pro akreditovanou laboratoř,Česká republika,N006/23/V00025960,4,282,
160,32840.80,2021-09-22,"Stolní, nástěnné a plánovací kalendáře na rok 2022",Hlavní město Praha,N006/21/V00024426,4,283,
161,20060.00,2021-09-23,"Instalace, zaškolení a podpora SW Gastris kredit sklad",Hlavní město Praha,N006/21/V00024522,4,285,
162,330578.51,2021-11-05,DP: Závodní stravování formou stravovacích poukázek 2021 (5.DP),Česká republika,N006/21/V00027294,4,66,
163,47051.24,2023-09-25,19.DP RD 21105002164 Běžná oprava T815 CAS,Kraj Vysočina,N006/23/V00026255,4,286,
164,92569.00,2023-08-18,Nákup kancelářského nábytku,Česká republika,N006/23/V00022695,41,287,
165,1412360.00,2023-09-04,Nafukovací stany,Olomoucký kraj,N006/23/V00024330,26,288,
166,165289.26,2021-11-09,DP: Závodní stravování formou stravovacích poukázek 2021 (6.DP),Česká republika,N006/21/V00029253,4,66,
167,4800000.00,2021-12-06,RD: na dodání stravovacích poukázek za účelem zabezpečení služby závodního stravování pro VÚ 3255 Praha v roce 2022 - 2023,Česká republika,N006/21/V00032510,4,234,
168,63617156.06,2023-05-22,Centrální nákup osobních vozidel – kategorie 1B benzín,Česká republika,N006/23/V00012701,42,290,
169,3487926.00,2023-05-22,"ÚP ČR - KrP Karlovy Vary - pořízení bezpečnostních přepážek na pracoviště ÚP (Karlovy Vary, Ostrov, Kraslice, Sokolov, Chodov), i.č. 013V03200 3003",Karlovarský kraj,N006/23/V00014134,30,294,
170,826.45,2020-11-30,DP: Servisní prohlídka Š Fabia combi 212-79-21 (42.DP) Čechy,Hlavní město Praha,N006/20/V00025947,4,185,
171,2479.34,2020-11-30,DP: Servisní prohlídka Š Fabia 027-21-11 (41.DP) Čechy,Hlavní město Praha,N006/20/V00025943,4,185,
172,12682.64,2023-09-25,Přeprava materiálu 26. 9. 2023 u VZ 211101 Olomouc,Česká republika,N006/23/V00026561,4,295,
173,826.45,2020-11-30,DP: Servisní prohlídka Š Fabia combi 212-08-29 (40.DP) Čechy,Hlavní město Praha,N006/20/V00025941,4,185,
174,29056611.57,2019-09-12,Košile 2012,Jihomoravský kraj,N006/19/V00026074,4,296,
175,1652.89,2020-11-30,DP: Servisní prohlídka Š Fabia 027-22-43 (39.DP) Čechy,Hlavní město Praha,N006/20/V00025940,4,185,
176,158000.00,2023-09-25,Nákup mobilních telefonů z RS č. 3,Hlavní město Praha,N006/23/V00026045,43,297,
177,2083196.02,2023-06-12,Dodávka a montáž elektrické požární signalizace v budovách domu zvláštního určení Palackého 4424/65 a 4423/63 Jablonec nad Nisou,Liberecký kraj,N006/23/V00016752,44,298,
178,17495319.56,2023-07-14,Vodovod Komárovice,,N006/23/V00019974,19,302,
179,4614048.22,2023-09-25,ZŠ a MŠ Brtnice - obnova tělocvičen,,N006/23/V00026744,19,303,
180,60837.00,2023-01-27,RD praní prádla,Středočeský kraj,N006/23/V00002323,4,304,
181,6680147.63,2023-03-20,Zateplení objektu MŠ Kozlovice č.p. 666,Moravskoslezský kraj,N006/23/V00007493,45,305,
182,31100.00,2023-09-08,"Praha, PS 2202 - Nákup akumulátorů a náhradních zdrojů",Hlavní město Praha,N006/23/V00024581,4,309,
183,158355.00,2023-08-25,PS 0006 – Servis sekčních vrat v areálech PS 0006 2023,Hlavní město Praha,N006/23/V00023005,4,310,
184,3156.00,2023-09-25,26.DP.- Servisní prohlídka Škody Fabie,Jihočeský kraj,N006/23/V00026616,4,312,
185,34863.60,2023-06-12,Teplometné panely II,Středočeský kraj,N006/23/V00016731,4,37,
186,1265626.47,2023-06-24,"Obnova poplachového a tísňového zabezpečovacího systému(PZTS), CCTV ,elektronické kontroly vstupu(EKV) a elektronického docházkového systému(EDS) a výměna vchodových dveří do objektů Celního úřadu v Plzni, A.Uxy 9, 11 a 13 “",Plzeňský kraj,N006/23/V00018124,46,97,
187,60800.00,2022-05-31,Rámcová dohoda na dodávky nábojů do operativních zbraní,Česká republika,N006/22/V00013652,26,315,
188,221530.00,2023-06-01,Vybavení skladu PHM,Středočeský kraj,N006/23/V00015414,4,189,
189,45515.00,2023-05-10,"Ozvučení - stojan, reproduktor, kabely",Středočeský kraj,N006/23/V00012985,4,217,
190,33807492.50,2022-03-23,Náves Kozlovice,Moravskoslezský kraj,N006/22/V00006653,45,317,
191,1483.22,2023-09-25,DP - RD - Opravy vozidel ŠKODA a VW 2022-2024. DP 76/27,,N006/23/V00025837,4,187,
192,7614.22,2023-09-25,20. DP - Nákup PHM na odběrové karty CCS v měsíci Srpen 2023,Česká republika,N006/23/V00019553,4,320,
193,4201.20,2023-04-28,Dopravní značení,Středočeský kraj,N006/23/V00011889,4,321,
194,49186.96,2023-09-25,DP - RD - Opravy vozidel TOYOTA HILUX 2022-2024. DP 27/50,,N006/23/V00025828,4,187,
195,88388.40,2023-04-27,Nákup vybíjecí zařízení,Středočeský kraj,N006/23/V00011789,4,182,
196,389797.20,2023-03-23,OCHRANNÁ BARIÉRA,Středočeský kraj,N006/23/V00007936,4,188,
295,99556632.10,2022-08-24,DODÁVKY POJISTEK NN,Česká republika,N006/22/V00021720,22,435,
197,3526000.00,2023-09-25,Rámcová dohoda na dodávky nábojů 308W SAKO Racehead,Česká republika,N006/23/V00002481,26,323,
198,1850401.20,2023-08-14,Obnova komponentů ICT,Jihomoravský kraj,N006/23/V00022509,47,324,
199,3176.00,2023-09-07,Nákup stolních kalendářů a diářů na rok 2024,Pardubický kraj,N006/23/V00025006,48,325,
200,97087.00,2023-03-22,Materiál pro revizního technika,Středočeský kraj,N006/23/V00007899,4,330,
201,22899928.31,2023-06-13,Odkanalizování obce Popůvky,Kraj Vysočina,N006/23/V00016924,49,331,
202,13683180.00,2022-07-22,Dymokury - klíčové logistické centrum - rekonstrukce bloku B administrativní budovy,Středočeský kraj,N006/22/V00006253,50,338,
